source_column,import_id,raw_numeric_code,response_label,semantic_score,observed_n,classification,raw_code_direction
EndDate,endDate,,2025-11-26 05:46:12,,1,metadata,not_applicable
EndDate,endDate,,2025-11-26 05:51:03,,1,metadata,not_applicable
EndDate,endDate,,2025-11-26 06:03:51,,1,metadata,not_applicable
EndDate,endDate,,2025-11-26 07:09:19,,1,metadata,not_applicable
EndDate,endDate,,2025-11-26 11:05:31,,1,metadata,not_applicable
EndDate,endDate,,2025-11-26 11:25:31,,1,metadata,not_applicable
EndDate,endDate,,2025-11-26 21:30:42,,1,metadata,not_applicable
EndDate,endDate,,2025-11-26 23:25:24,,1,metadata,not_applicable
EndDate,endDate,,2025-11-26 23:32:40,,1,metadata,not_applicable
EndDate,endDate,,2025-11-26 23:36:47,,1,metadata,not_applicable
EndDate,endDate,,2025-11-26 23:39:29,,1,metadata,not_applicable
EndDate,endDate,,2025-11-27 01:22:33,,1,metadata,not_applicable
EndDate,endDate,,2025-11-27 01:29:59,,1,metadata,not_applicable
EndDate,endDate,,2025-11-27 01:36:31,,1,metadata,not_applicable
EndDate,endDate,,2025-11-27 05:40:02,,1,metadata,not_applicable
EndDate,endDate,,2025-11-27 06:38:24,,1,metadata,not_applicable
EndDate,endDate,,2025-12-01 01:57:47,,1,metadata,not_applicable
EndDate,endDate,,2025-12-01 02:00:04,,1,metadata,not_applicable
EndDate,endDate,,2025-12-01 02:19:54,,1,metadata,not_applicable
EndDate,endDate,,2025-12-01 02:24:16,,1,metadata,not_applicable
EndDate,endDate,,2025-12-01 02:26:29,,1,metadata,not_applicable
EndDate,endDate,,2025-12-01 02:29:37,,1,metadata,not_applicable
EndDate,endDate,,2025-12-01 02:31:52,,1,metadata,not_applicable
EndDate,endDate,,2025-12-01 03:01:19,,1,metadata,not_applicable
EndDate,endDate,,2025-12-01 04:26:35,,1,metadata,not_applicable
EndDate,endDate,,2025-12-01 05:25:25,,1,metadata,not_applicable
EndDate,endDate,,2025-12-01 11:39:27,,1,metadata,not_applicable
EndDate,endDate,,2025-12-01 23:48:54,,1,metadata,not_applicable
EndDate,endDate,,2025-11-26 04:41:08,,1,metadata,not_applicable
EndDate,endDate,,2025-11-26 04:48:12,,1,metadata,not_applicable
EndDate,endDate,,2025-11-26 04:51:37,,1,metadata,not_applicable
EndDate,endDate,,2025-12-03 05:08:48,,1,metadata,not_applicable
EndDate,endDate,,2025-11-26 05:13:35,,1,metadata,not_applicable
EndDate,endDate,,2025-12-03 23:23:26,,1,metadata,not_applicable
EndDate,endDate,,2025-12-04 02:54:07,,1,metadata,not_applicable
EndDate,endDate,,2025-12-22 23:04:59,,1,metadata,not_applicable
EndDate,endDate,,2025-12-23 01:50:18,,1,metadata,not_applicable
EndDate,endDate,,2025-12-24 20:27:07,,1,metadata,not_applicable
EndDate,endDate,,2025-12-26 20:22:05,,1,metadata,not_applicable
EndDate,endDate,,2025-12-28 06:35:48,,1,metadata,not_applicable
EndDate,endDate,,2025-12-29 20:34:23,,1,metadata,not_applicable
EndDate,endDate,,2025-12-30 20:24:46,,1,metadata,not_applicable
EndDate,endDate,,2026-01-08 03:35:25,,1,metadata,not_applicable
EndDate,endDate,,2026-01-08 03:55:36,,1,metadata,not_applicable
